Day 1,Irradiance(W/m�),,,,,,,,
,Actual,,SVR,,LSTM,,ANN-GA,,
0,0,0,0,0,0,0,0,,--
5.19133,0,5.09588,0,4.94569,0,5.10945,0,,--
5.98322,46.4368134324766,5.88777,41.5556063805639,5.20513,2.85460761182821,5.72378,70.8428486920393,,--
6.96624,238.547176689893,7.07549,271.320995467021,6.01059,27.6093005179564,6.17435,134.298540366903,,--
8.65927,642.641389058942,8.07208,518.867924528302,6.80248,192.873024989854,7.1438,301.654210718192,--,--
9.54661,849.744031118662,9.35548,776.525925339973,7.33493,335.474002435015,7.7717,448.7877375687,--,--
10.03812,955.735955674478,10.14737,910.410461621004,7.86738,471.450484595437,8.48171,607.426966755859,--,--
10.83001,1031.74332262569,10.93926,850.406423898913,8.57716,627.649110256639,9.01416,750.027944201019,--,--
11.8266,1036.6245296776,11.63547,925.735955674478,9.72417,815.575581755274,9.2736,801.977933539232,--,--
12.80962,960.965820372956,12.71417,869.966174619443,10.07906,872.058120498834,9.98361,892.62892164618,--,--
13.90189,781.407132391886,14.20227,650.311857283377,10.88452,900.943011026352,10.87095,973.866153295868,--,--
14.98036,539.090068029083,15.08961,402.764928222095,11.85397,894.372209879006,11.75829,964.801054485173,--,--
15.77225,304.094814244148,16.76884,61.7777498813446,12.56398,849.395373472097,12.4683,896.812813404962,--,--
16.76884,0,16.76884,0,13.5332,772.342033581191,13.26019,799.537330013276,--,--
22.977,0,22.977,0,14.24321,654.495749042159,13.88809,666.00145137881,--,--
,--,,--,15.13055,428.216936421354,14.85754,485.048132811479,--,--
,--,,--,15.84056,240.290464922719,15.92244,288.05656250215,--,--
,--,,--,16.37301,91.0649921928201,17.06922,81.9998933821253,--,--
,--,,--,16.82358,0,18.2298,0,--,--
,--,,--,21.34262,0,22.977,0,--,--
,,,,22.977,0,,--,--,
