Day 8,Irradiance(W/m²),,,,,,
,Actual,,SVR,,LSTM,,ANN-GA
0,0,0,0,0,0,0,0
5.32148977591231,0,5.1457984234487,0,5.16166000000001,0,5.16177036458162,0
6.71104865448997,206,6.0082832446346,55,6.05613000000001,29,6.63118894882452,195
8.78740100178991,670,7.2221507707484,330,7.31422999999998,308,8.54782188479373,623
10.0172404690366,925,8.61170964932606,655,8.99507,676,10.0172404690366,880
10.8797252902227,1000,10.8797252902227,880,10.16094,830,11.0554166426866,926
11.9179014638727,1008,11.566518758945,900,10.89579,880,11.9338734050058,915
12.7963582261917,942,13.483151694914,800,11.93378,810,12.9560776375226,830
14.0102257523055,720,14.8727105734916,499,13.70685,744,14.4414681628984,578
15.7511673358109,295,16.2622694520693,153,14.58522,586,15.7511673358109,312
16.6136521569968,100,18.0032110355744,0,15.60734,300,16.7893435094606,90
17.8275196831106,0,18.0032110355744,0,16.78931,60,17.8115477419774,0
22.977,0,22.977,0,17.81166,0,22.977,0
,,,,22.977,0,,
